candidate_id,rank,score,reasoning
CAND_0041610,1,0.766513,"Strong fit: 7yr exp, strong skill match (Elasticsearch, OpenSearch); shipped Recommendation Systems Engineer at Zoho. Available in 30d; open to relocating from indore, madhya pradesh."
CAND_0066999,2,0.747189,"Strong fit: 6yr exp, strong skill match (LLMs, FAISS); shipped Recommendation Systems Engineer at Microsoft. Available in 15d; based in delhi, delhi."
CAND_0030468,3,0.719168,"Strong fit: 5yr exp, strong skill match (OpenSearch, Milvus); shipped Senior Applied Scientist at Swiggy. Open to relocating from indore, madhya pradesh."
CAND_0041669,4,0.706109,"Strong fit: 8yr exp, strong skill match (Semantic Search, Milvus); shipped Recommendation Systems Engineer at CRED. Based in noida, uttar pradesh."
CAND_0016163,5,0.589305,"Strong fit: 7yr exp, strong skill match (Weaviate, Embeddings); shipped Applied ML Engineer at Dream11. Long notice period (120d) is a risk; based in gurgaon, haryana."
CAND_0005260,6,0.579859,"Strong fit: 5yr exp, strong skill match (Embeddings, NLP); shipped Senior NLP Engineer at Netflix. Open to relocating from chennai, tamil nadu."
CAND_0006567,7,0.566971,"Strong fit: 8yr exp, strong skill match (BM25, Python); shipped Senior AI Engineer at Meta. Based in noida, uttar pradesh."
CAND_0083852,8,0.526937,"Strong fit: 6yr exp, strong skill match (Pinecone, Sentence Transformers); shipped Data Scientist at Mad Street Den. Open to relocating from ahmedabad, gujarat."
CAND_0098454,9,0.504291,"Strong fit: 7yr exp with relevant background (Weaviate); shipped AI Specialist at Meesho. Open to relocating from indore, madhya pradesh."
CAND_0042506,10,0.497361,"Strong fit: 4yr exp, strong skill match (Information Retrieval, NLP); shipped Search Engineer at Verloop.io. Available in 15d; based in mumbai, maharashtra."
CAND_0070525,11,0.4908,"Good fit: 5yr exp with relevant background (Recommendation Systems); shipped Senior Software Engineer (ML) at Mad Street Den. Based in hyderabad, telangana."
CAND_0068932,12,0.487566,"Good fit: 5yr exp with relevant background (OpenSearch); shipped ML Engineer at Krutrim. Active on platform, 82% response rate; available in 30d; based in noida, uttar pradesh."
CAND_0033179,13,0.479358,"Good fit: 7yr exp with relevant background (Information Retrieval); shipped AI Research Engineer at Wipro. Available in 30d; open to relocating from ahmedabad, gujarat."
CAND_0053605,14,0.477483,"Good fit: 7yr exp with relevant background (RAG); shipped Senior Software Engineer (ML) at Verloop.io. Available in 30d; based in noida, uttar pradesh."
CAND_0010541,15,0.473871,"Good fit: 6yr exp, strong skill match (Weaviate, Pinecone); shipped AI Research Engineer at Wysa. Based in hyderabad, telangana."
CAND_0060054,16,0.470905,"Good fit: 6yr exp, strong skill match (Recommendation Systems, Semantic Search); shipped AI Engineer at Mad Street Den. Available in 15d; open to relocating from jaipur, rajasthan."
CAND_0008295,17,0.470551,"Good fit: 6yr exp with relevant background (BM25); shipped AI Research Engineer at Razorpay. Based in pune, maharashtra."
CAND_0060257,18,0.463997,"Good fit: 6yr exp, strong skill match (OpenSearch, Recommendation Systems); shipped AI Specialist at Paytm. Based in gurgaon, haryana."
CAND_0082086,19,0.463819,"Good fit: 6yr exp with relevant background (FAISS); shipped Senior Software Engineer (ML) at Razorpay. Based in delhi, delhi."
CAND_0046353,20,0.454178,"Good fit: 6yr exp with relevant background (NLP); shipped ML Engineer at Razorpay. Long notice period (120d) is a risk; based in gurgaon, haryana."
CAND_0037160,21,0.452753,"Good fit: 6yr exp with relevant background (Weaviate); shipped Data Scientist at Haptik. Available in 30d; based in mumbai, maharashtra."
CAND_0038949,22,0.450678,"Good fit: 6yr exp, strong skill match (NLP, Milvus); shipped ML Engineer at CRED. Long notice period (120d) is a risk; open to relocating from bhubaneswar, odisha."
CAND_0017590,23,0.450258,"Good fit: 5yr exp, strong skill match (NLP, Sentence Transformers); shipped AI Research Engineer at Genpact AI. Open to relocating from kolkata, west bengal."
CAND_0060072,24,0.449738,"Good fit: 6yr exp, strong skill match (BM25, Pinecone); shipped Staff Machine Learning Engineer at Amazon. Concern: low recruiter response rate (10%); open to relocating from indore, madhya pradesh."
CAND_0004402,25,0.448034,"Good fit: 6yr exp with relevant background (Computer Vision); shipped AI Research Engineer at Yellow.ai. Based in delhi, delhi."
CAND_0072688,26,0.446413,"Good fit: 7yr exp with relevant background (Recommendation Systems); shipped Data Scientist at Niramai. Based in pune, maharashtra."
CAND_0043860,27,0.446118,"Good fit: 6yr exp with relevant background (Semantic Search); shipped Junior ML Engineer at Aganitha. Available in 30d; open to relocating from bhubaneswar, odisha."
CAND_0007411,28,0.444105,"Good fit: 8yr exp, strong skill match (OpenSearch, BM25); shipped Senior Machine Learning Engineer at Amazon. Concern: low recruiter response rate (12%); available in 15d; open to relocating from kochi, kerala."
CAND_0007052,29,0.441792,"Good fit: 6yr exp, strong skill match (Elasticsearch, RAG); shipped ML Engineer at Unacademy. Based in pune, maharashtra."
CAND_0061257,30,0.438921,"Good fit: 8yr exp with relevant background (Python); shipped Staff Machine Learning Engineer at LinkedIn. Available in 30d; based in noida, uttar pradesh."
CAND_0083879,31,0.436088,"Moderate fit: 7yr exp with relevant background (Fine-tuning LLMs); shipped Machine Learning Engineer at Ola. Available in 30d; based in noida, uttar pradesh."
CAND_0098952,32,0.436049,"Moderate fit: 6yr exp with relevant background (Recommendation Systems); shipped AI Research Engineer at CRED. Based in gurgaon, haryana."
CAND_0092255,33,0.431397,"Moderate fit: 5yr exp, strong skill match (RAG, OpenSearch); shipped ML Engineer at InMobi. Based in noida, uttar pradesh."
CAND_0020954,34,0.430773,"Moderate fit: 7yr exp with relevant background (Computer Vision); shipped Senior Software Engineer at Swiggy. Based in pune, maharashtra."
CAND_0093763,35,0.428972,"Moderate fit: 5yr exp with relevant background (Sentence Transformers); shipped Senior Software Engineer (ML) at Swiggy. Based in noida, uttar pradesh."
CAND_0043318,36,0.428537,Moderate fit: 6yr exp with relevant background (RAG); shipped Data Scientist at Freshworks. Long notice period (120d) is a risk; open to relocating from sydney.
CAND_0073982,37,0.419349,"Moderate fit: 7yr exp, strong skill match (RAG, Sentence Transformers); shipped Data Scientist at Dream11. Based in delhi, delhi."
CAND_0026716,38,0.419044,"Moderate fit: 6yr exp with relevant background (Computer Vision); shipped Computer Vision Engineer at PharmEasy. Open to relocating from trivandrum, kerala."
CAND_0076482,39,0.414887,Moderate fit: 7yr exp with relevant background (RAG); shipped ML Engineer at Flipkart. Open to relocating from austin.
CAND_0005193,40,0.412648,"Moderate fit: 6yr exp with relevant background (OpenSearch); shipped Senior Software Engineer at Dream11. Based in hyderabad, telangana."
CAND_0057736,41,0.411855,"Moderate fit: 6yr exp with relevant background (Information Retrieval); shipped Computer Vision Engineer at Mad Street Den. Open to relocating from coimbatore, tamil nadu."
CAND_0046924,42,0.410583,"Moderate fit: 6yr exp, strong skill match (FAISS, Semantic Search); shipped Computer Vision Engineer at PharmEasy. Long notice period (120d) is a risk; based in noida, uttar pradesh."
CAND_0036437,43,0.409595,"Moderate fit: 5yr exp, strong skill match (Sentence Transformers, Elasticsearch); shipped Search Engineer at Rephrase.ai. Available in 30d; open to relocating from kolkata, west bengal."
CAND_0064780,44,0.405591,"Moderate fit: 7yr exp, strong skill match (RAG, Semantic Search); open to relocating from Jaipur, Rajasthan."
CAND_0081480,45,0.403779,"Moderate fit: 6yr exp with relevant background (FAISS); shipped Computer Vision Engineer at Sarvam AI. Based in noida, uttar pradesh."
CAND_0092706,46,0.403618,"Moderate fit: 6yr exp with relevant background (Hugging Face Transformers); shipped AI Research Engineer at Unacademy. Long notice period (120d) is a risk; based in delhi, delhi."
CAND_0090584,47,0.403508,"Moderate fit: 5yr exp with relevant background (RAG); shipped ML Engineer at Flipkart. Long notice period (120d) is a risk; based in pune, maharashtra."
CAND_0064888,48,0.398108,"Moderate fit: 6yr exp with relevant background (Elasticsearch); shipped ML Engineer at Verloop.io. Available in 30d; open to relocating from vizag, andhra pradesh."
CAND_0048558,49,0.397881,"Moderate fit: 7yr exp with relevant background (Qdrant); shipped Data Scientist at Rephrase.ai. Available in 30d; based in noida, uttar pradesh."
CAND_0069638,50,0.396675,"Moderate fit: 6yr exp with relevant background (Pinecone); shipped Computer Vision Engineer at Swiggy. Available in 30d; open to relocating from chennai, tamil nadu."
CAND_0090300,51,0.396562,Moderate fit: 5yr exp with relevant background (Fine-tuning LLMs); shipped AI Research Engineer at Dream11. Long notice period (120d) is a risk; open to relocating from san francisco.
CAND_0064904,52,0.396321,"Moderate fit: 5yr exp, strong skill match (Embeddings, Elasticsearch); shipped AI Engineer at LinkedIn. Based in hyderabad, telangana."
CAND_0060835,53,0.39074,"Moderate fit: 7yr exp with relevant background (Embeddings); shipped Senior Software Engineer (ML) at Sarvam AI. Open to relocating from bangalore, karnataka."
CAND_0077296,54,0.390722,"Moderate fit: 6yr exp with relevant background (Weaviate); shipped Computer Vision Engineer at Ola. Open to relocating from vizag, andhra pradesh."
CAND_0024549,55,0.38956,"Moderate fit: 5yr exp at Infosys, limited skill overlap; shipped AI Specialist at Infosys. Based in mumbai, maharashtra."
CAND_0049120,56,0.389452,"Moderate fit: 7yr exp with relevant background (RAG); based in Pune, Maharashtra."
CAND_0010149,57,0.385145,"Moderate fit: 7yr exp with relevant background (Milvus); shipped ML Engineer at Glance. Open to relocating from bangalore, karnataka."
CAND_0039546,58,0.383896,"Moderate fit: 7yr exp with relevant background (Python); long notice period (120d) is a risk. Based in pune, maharashtra."
CAND_0091899,59,0.38259,"Moderate fit: 6yr exp, strong skill match (Semantic Search, Information Retrieval); shipped Senior Software Engineer (ML) at PhonePe. Based in delhi, delhi."
CAND_0061738,60,0.377864,"Moderate fit: 5yr exp with relevant background (Embeddings); shipped .NET Developer at Stark Industries. Long notice period (150d) is a risk; open to relocating from bangalore, karnataka."
CAND_0028287,61,0.376852,"Partial fit: 6yr exp with relevant background (OpenSearch); shipped Data Scientist at Unacademy. Open to relocating from vizag, andhra pradesh."
CAND_0063622,62,0.374504,"Partial fit: 5yr exp with relevant background (Fine-tuning LLMs); shipped Computer Vision Engineer at Niramai. Available in 30d; based in hyderabad, telangana."
CAND_0060538,63,0.373917,"Partial fit: 5yr exp with relevant background (Embeddings); shipped ML Engineer at Verloop.io. Based in pune, maharashtra."
CAND_0004972,64,0.372136,"Partial fit: 6yr exp, strong skill match (Sentence Transformers, Semantic Search); shipped ML Engineer at Glance. Based in gurgaon, haryana."
CAND_0090155,65,0.371908,"Partial fit: 6yr exp at Swiggy, limited skill overlap; shipped ML Engineer at Swiggy. Based in pune, maharashtra."
CAND_0063826,66,0.371868,Partial fit: 8yr exp with relevant background (Sentence Transformers); open to relocating from Singapore.
CAND_0016359,67,0.371103,"Partial fit: 6yr exp with relevant background (Information Retrieval); shipped Senior Software Engineer at Infosys. Long notice period (120d) is a risk; open to relocating from bhubaneswar, odisha."
CAND_0026532,68,0.370517,"Partial fit: 5yr exp, strong skill match (Semantic Search, Milvus); shipped Recommendation Systems Engineer at Zomato. Open to relocating from chennai, tamil nadu."
CAND_0064020,69,0.369492,"Partial fit: 6yr exp with relevant background (Computer Vision); shipped Senior Software Engineer at Pied Piper. Long notice period (120d) is a risk; based in noida, uttar pradesh."
CAND_0046404,70,0.365487,"Partial fit: 8yr exp with relevant background (Computer Vision); open to relocating from Vizag, Andhra Pradesh."
CAND_0043693,71,0.365367,"Partial fit: 7yr exp with relevant background (LLMs); long notice period (120d) is a risk. Based in noida, uttar pradesh."
CAND_0094292,72,0.363617,"Partial fit: 6yr exp with relevant background (NLP); shipped AI Specialist at Vedantu. Based in mumbai, maharashtra."
CAND_0026942,73,0.363443,"Partial fit: 6yr exp with relevant background (Recommendation Systems); shipped Junior ML Engineer at Verloop.io. Available in 30d; open to relocating from chandigarh, chandigarh."
CAND_0035987,74,0.360656,"Partial fit: 6yr exp at TCS, limited skill overlap; available in 30d. Based in pune, maharashtra."
CAND_0062413,75,0.357411,"Partial fit: 7yr exp with relevant background (BM25); shipped AI Research Engineer at upGrad. Based in mumbai, maharashtra."
CAND_0007567,76,0.356993,"Partial fit: 6yr exp with relevant background (Fine-tuning LLMs); shipped AI Specialist at Niramai. Open to relocating from kochi, kerala."
CAND_0096104,77,0.356631,"Partial fit: 7yr exp at Yellow.ai, limited skill overlap; shipped AI Specialist at Yellow.ai. Available in 30d; based in delhi, delhi."
CAND_0068985,78,0.356394,"Partial fit: 5yr exp, strong skill match (Computer Vision, OpenSearch); shipped Senior Software Engineer (ML) at Locobuzz. Open to relocating from new york."
CAND_0018888,79,0.355329,"Partial fit: 6yr exp with relevant background (Information Retrieval); shipped AI Research Engineer at Razorpay. Available in 30d; based in noida, uttar pradesh."
CAND_0010283,80,0.355107,"Partial fit: 5yr exp with relevant background (Computer Vision); shipped AI Specialist at Saarthi.ai. Long notice period (120d) is a risk; based in mumbai, maharashtra."
CAND_0070514,81,0.354806,"Partial fit: 6yr exp at Glance, limited skill overlap; shipped AI Specialist at Glance. Open to relocating from bangalore, karnataka."
CAND_0074731,82,0.353503,"Partial fit: 7yr exp with relevant background (Weaviate); shipped Data Scientist at InMobi. Open to relocating from chennai, tamil nadu."
CAND_0085643,83,0.353133,"Partial fit: 8yr exp, strong skill match (RAG, OpenSearch); shipped Data Engineer at Swiggy. Long notice period (120d) is a risk; open to relocating from toronto."
CAND_0025882,84,0.351794,"Partial fit: 6yr exp at Freshworks, limited skill overlap; shipped Senior Software Engineer (ML) at Freshworks. Open to relocating from chennai, tamil nadu."
CAND_0085458,85,0.351373,"Partial fit: 8yr exp with relevant background (Computer Vision); shipped Analytics Engineer at Nykaa. Based in gurgaon, haryana."
CAND_0073314,86,0.3506,"Partial fit: 5yr exp at Aganitha, limited skill overlap; shipped Senior Software Engineer (ML) at Aganitha. Based in noida, uttar pradesh."
CAND_0054394,87,0.350139,"Partial fit: 4yr exp with relevant background (Fine-tuning LLMs); shipped Recommendation Systems Engineer at PharmEasy. Available in 30d; based in pune, maharashtra."
CAND_0012918,88,0.349967,"Partial fit: 8yr exp, strong skill match (Embeddings, FAISS); based in Noida, Uttar Pradesh."
CAND_0039587,89,0.348622,"Partial fit: 6yr exp at HCL, limited skill overlap; available in 30d. Based in mumbai, maharashtra."
CAND_0039868,90,0.347411,"Partial fit: 7yr exp with relevant background (Computer Vision); shipped Full Stack Developer at Stark Industries. Based in hyderabad, telangana."
CAND_0017093,91,0.347017,"Partial fit: 6yr exp with relevant background (BM25); shipped ML Engineer at Zoho. Available in 30d; based in hyderabad, telangana."
CAND_0041236,92,0.346532,"Partial fit: 6yr exp with relevant background (Computer Vision); shipped Senior Software Engineer at InMobi. Based in noida, uttar pradesh."
CAND_0078489,93,0.345527,"Partial fit: 6yr exp with relevant background (LLMs); based in Delhi, Delhi."
CAND_0095031,94,0.343712,"Partial fit: 6yr exp with relevant background (Hugging Face Transformers); shipped Computer Vision Engineer at Wysa. Open to relocating from chandigarh, chandigarh."
CAND_0073883,95,0.342855,"Partial fit: 5yr exp at Krutrim, limited skill overlap; shipped AI Specialist at Krutrim. Open to relocating from chandigarh, chandigarh."
CAND_0015582,96,0.341606,"Partial fit: 4yr exp, strong skill match (Qdrant, Pinecone); shipped ML Engineer at Genpact AI. Long notice period (120d) is a risk; open to relocating from trivandrum, kerala."
CAND_0012632,97,0.341081,"Partial fit: 6yr exp, strong skill match (Python, Pinecone); shipped AI Specialist at Razorpay. Long notice period (120d) is a risk; open to relocating from austin."
CAND_0000165,98,0.340254,Partial fit: 7yr exp with relevant background (Information Retrieval); shipped AI Specialist at Mad Street Den. Long notice period (120d) is a risk; open to relocating from san francisco.
CAND_0064282,99,0.340004,"Partial fit: 7yr exp with relevant background (Recommendation Systems); open to relocating from Chandigarh, Chandigarh."
CAND_0019288,100,0.339456,"Partial fit: 6yr exp with relevant background (OpenSearch); shipped AI Research Engineer at Paytm. Available in 30d; based in noida, uttar pradesh."
